,,Picking Tool,,,,,,,,Placing Tool,,,,,,,,
Tool,,Z1,X1,Y1,Y2,Z3,Y4,Z4,,Z1,X1,Y1,Y2,Z2,Y3,Z3,Y4,Z4
1,,143.5,5.9,40,15,160,50,160,,160,5.9,40,13,159,11,157.5,9,143.5
2,,143.5,50.6,40,15,160,50,160,,160,50.6,40,13,159,11,157.5,9,143.5
3,,143.5,95.6,40,15,160,50,160,,160,95.6,40,13,159,11,157.5,9,143.5
4,,143.5,141.5,40,15,160,50,160,,160,141.5,40,13,159,11,157.5,9,143.5
5,,143.5,184.7,40,15,160,50,160,,160,184.7,40,13,159,11,157.5,9,143.5
6,,143.5,230.6,40,15,160,50,160,,160,230.6,40,13,159,11,157.5,9,143.5
7,,143.5,276,40,15,160,50,160,,160,276,40,13,159,11,157.5,9,143.5
8,,143.5,321.4,40,15,160,50,160,,160,321.4,40,13,159,11,157.5,9,143.5
9,,143.5,364.5,40,15,160,50,160,,160,364.5,40,13,159,10,157.5,9,143.5
10,,3.5,4.5,80,51,20,80,15,,19,4.5,80,51,19,50,17,48,3
11,,3.5,50,80,51,20,80,15,,19,50,80,51,19,50,17,48,3
12,,3.5,94.8,80,51,20,80,15,,19,94.8,80,51,19,50,17,48,3
13,,3.5,139.4,80,51,20,80,15,,19,139.4,80,51,19,50,17,48,3
14,,3.5,184.5,80,51,20,80,15,,19,184.5,80,51,19,50,17,48,3
15,,3.5,229.3,80,51,20,80,15,,19,229.3,80,51,19,50,17,48,3
16,,3.5,274.2,80,51,20,80,15,,19,274.2,80,51,19,50,17,48,3
17,,3.5,319.8,80,51,20,80,15,,19,319.8,80,51,19,49,17,48,3
18,,3.5,364.2,80,51,20,80,15,,19,364.2,80,51,19,49,17,48,3
Speed (F):,,1500,500,500,500,1000,1000,1000,,1500,500,500,500,1000,1000,1000,1000,1000
