,,Picking Tool,,,,,,,,Placing Tool,,,,,,,,
Tool,,Z1,X1,Y1,Y2,Z3,Y4,Z4,,Z1,X1,Y1,Y2,Z2,Y3,Z3,Y4,Z4
1,solid 1,135,26,90,40,154,130,154,,154,26,130,37,154,33,152,33,137
2,solid 2,135,71,90,40,154,130,154,,154,71,130,37,154,33,152,33,137
3,solid 3,135,117.2,90,39,154,130,154,,154,117.2,130,37,154,33,152,33,137
4,solid 4,135,164.3,90,39,154,130,154,,154,164.3,130,37,154,33,152,33,137
5,powder 1,135,215.6,97,44,152.5,137,152.5,,152.5,215.6,137,43,152.5,39,151,39,136
6,powder 2,135,333.6,97,44,152.5,137,152.5,,152.5,333.6,137,43,152.5,39,151,39,136
7,paste 1,12.5,23.5,130,77,30.5,130,30.5,,30.5,23.5,130,78,30.5,73,29,73,13
8,paste 2,12.5,69,130,77,30.5,130,30.5,,30.5,69,130,78,30.5,73.5,28.5,73.5,14
9,paste 3,12.5,116,130,77,30.5,130,30.5,,30.5,116,130,78,30.5,73.5,28,73.5,14
10,liquid 1,2,207,130,77,16,142,20,,20,208,142,75,15,71,13,71,0
11,liquid 2,2,253.5,130,77,16,142,20,,20,253.5,142,75,15,71,13,71,0
12,liquid 3,2,299.5,130,77,16,142,20,,20,299.5,142,75,15,71,13,71,0
,,,,,,,,,,,,,,,,,,
Speed (F):,,1500,500,500,500,1000,1000,1000,,1500,500,500,500,1000,1000,1000,1000,1000
